id,name,code,account_type,chart_template_id:id,reconcile
account_py_3203,OTRAS RESERVAS,3.02.03,equity,py_chart_template,False
account_py_3301,RESULTADOS ACUMULADOS,3.03.01,equity,py_chart_template,False
account_py_3302,RESULTADO DEL EJERCICIO,3.03.02,equity_unaffected,py_chart_template,False
account_py_40101_income,VENTAS DE MERCADERÍAS GRAVADAS POR EL IVA,4.01.01,income,py_chart_template,False
account_py_40102_income,VENTAS DE MERCADERÍAS EXENTAS DEL IVA,4.01.02,income,py_chart_template,False
account_py_40201_income,VENTAS DE SOJA Y SUS DERIVADOS,4.02.01,income,py_chart_template,False
account_py_40202_income,VENTAS DE MAÍZ,4.02.02,income,py_chart_template,False
account_py_40203_income,VENTAS DE TRIGO,4.02.03,income,py_chart_template,False
account_py_40204_income,OTROS PRODUCTOS AGRÍCOLAS,4.02.04,income,py_chart_template,False
account_py_403_income,VENTAS DE GANADO,4.03,income,py_chart_template,False
account_py_404_income,VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS,4.04,income,py_chart_template,False
account_py_405_income,VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL,4.05,income,py_chart_template,False
account_py_406_income,EXPORTACIONES DE SOJA Y SUS DERIVADOS,4.06.01,income,py_chart_template,False
account_py_40602_income,EXPORTACIONES DE OTROS PRODUCTOS AGRÍCOLAS,4.06.02,income,py_chart_template,False
account_py_40701_income,EXPORTACIONES DE PRODUCTOS FARMACÉUTICOS,4.07.01,income,py_chart_template,False
account_py_40702_income,EXPORTACIONES DE MAQUINARIAS Y EQUIPOS,4.07.02,income,py_chart_template,False
account_py_40703_income,EXPORTACIONES DE OTROS PRODUCTOS INDUSTRIALIZADOS,4.07.03,income,py_chart_template,False
account_py_408_income,EXPORTACIONES DE OTROS PRODUCTOS,4.08,income,py_chart_template,False
account_py_409_income,VENTAS DE SERVICIOS GRAVADOS,4.09,income,py_chart_template,False
account_py_41001_income,VENTAS RÉGIMEN DE TURISMO,4.10.01,income,py_chart_template,False
account_py_41002_income,VENTAS ZONA FRANCA,4.10.02,income,py_chart_template,False
account_py_41003_income,VENTAS RÉGIMEN DE MAQUILA,4.10.03,income,py_chart_template,False
account_py_41004_income,VENTAS OTROS REGÍMENES ESPECIALES,4.10.04,income,py_chart_template,False
account_py_411_income,OTRAS VENTAS EXENTAS DEL IVA,4.11,income,py_chart_template,False
account_py_498_income,DESCUENTOS CONCEDIDOS,4.98,income,py_chart_template,False
account_py_499_income,DEVOLUCIONES,4.99,income,py_chart_template,False
account_py_50101_expense,COSTO DE MERCADERÍAS GRAVADAS POR EL IVA,5.01.01,expense,py_chart_template,False
account_py_50102_expense,COSTO DE MERCADERÍAS EXENTAS DEL IVA,5.01.02,expense,py_chart_template,False
account_py_50201_expense,COSTO DE VENTAS DE SOJA Y SUS DERIVADOS,5.02.01,expense,py_chart_template,False
account_py_50202_expense,COSTO DE VENTAS DE MAÍZ,5.02.02,expense,py_chart_template,False
account_py_50203_expense,COSTO DE VENTAS DE TRIGO,5.02.03,expense,py_chart_template,False
account_py_50204_expense,COSTO DE VENTAS DE OTROS PRODUCTOS AGRÍCOLAS,5.02.04,expense,py_chart_template,False
account_py_503_expense,COSTO DE VENTAS DE GANADO,5.03,expense,py_chart_template,False
account_py_504_expense,COSTO DE VENTAS DE PRODUCTOS FRUTÍCOLAS Y HORTÍCOLAS,5.04,expense,py_chart_template,False
account_py_505_expense,COSTO DE VENTAS DE PRODUCTOS DE LA EXPLOTACIÓN FORESTAL,5.05,expense,py_chart_template,False
account_py_50601_expense,COSTO DE SOJA Y SUS DERIVADOS EXPORTADOS,5.06.01,expense,py_chart_template,False
account_py_50602_expense,COSTO DE OTROS PRODUCTOS AGRÍCOLAS EXPORTADOS,5.06.02,expense,py_chart_template,False
account_py_50701_expense,COSTO DE PRODUCTOS FARMACÉUTICOS EXPORTADOS,5.07.01,expense,py_chart_template,False
account_py_50702_expense,COSTO DE MAQUINARIAS Y EQUIPOS EXPORTADOS,5.07.02,expense,py_chart_template,False
account_py_50703_expense,COSTO DE OTROS PRODUCTOS INDUSTRIALIZADOS EXPORTADOS,5.07.03,expense,py_chart_template,False
account_py_508_expense,COSTO DE OTROS PRODUCTOS EXPORTADOS,5.08,expense,py_chart_template,False
account_py_509_expense,COSTO DE SERVICIOS GRAVADOS,5.09,expense,py_chart_template,False
account_py_51001_expense,COSTO DE VENTAS RÉGIMEN DE TURISMO,5.10.01,expense,py_chart_template,False
account_py_51002_expense,COSTO DE VENTAS ZONA FRANCA,5.10.02,expense,py_chart_template,False
account_py_51003_expense,COSTO DE VENTAS RÉGIMEN DE MAQUILA,5.10.03,expense,py_chart_template,False
account_py_51004_expense,COSTO DE VENTAS OTROS REGÍMENES ESPECIALES,5.10.04,expense,py_chart_template,False
account_py_511_expense,COSTO DE VENTAS EXENTAS DEL IVA,5.11,expense,py_chart_template,False
account_py_70101_income,INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE BIENES DEL SECTOR AGRÍCOLA,7.01.01,income_other,py_chart_template,False
account_py_70102_income,INGRESOS POR PRODUCCIÓN Y/O TENENCIA DE GANADO,7.01.02,income_other,py_chart_template,False
