Код;Наименование
7322;Печатари
7323;Оформители и книговезци
74;РАБОТНИЦИ ПО ИНСТАЛИРАНЕ И РЕМОНТ НА ЕЛЕКТРИЧЕСКИ И ЕЛЕКТРОННИ СЪОРЪЖЕНИЯ
741;Работници по инсталиране и ремонт на електрически съоръжения
7411;Строителни електротехници и сродни на тях
7412;Електромеханици и електромонтьори
7413;Работници по инсталиране и ремонт на електрически мрежи
742;Работници по инсталиране и ремонт на електронни и телекомуникационни съоръжения
7421;Механици и сервизни техници на електронни съоръжения
7422;Работници по инсталиране, ремонт и поддържане на информационни и комуникационни съоръжения
75;РАБОТНИЦИ ПО ПРОИЗВОДСТВО НА ХРАНИ, ОБЛЕКЛО, ДЪРВЕНИ ИЗДЕЛИЯ И СРОДНИ НА ТЯХ
751;Работници по производство на храни и сродни на тях
7511;Работници по преработка на месо, риба и други подобни хранителни продукти
7512;Работници по производство на хлебни, сладкарски и тестени изделия
7513;Работници по производство на млечни продукти
7514;Работници по производство на плодови, зеленчукови и други консерви
7515;Дегустатори на храни и напитки
7516;Работници по преработка на тютюн и производство на тютюневи изделия
752;Работници по обработка на дърво, мебелисти и сродни на тях
7521;Работници по обработка на дърво
7522;Дърводелци, мебелисти и сродни на тях
7523;Настройчици и оператори-настройчици на дървообработващи машини
753;Работници по производство на облекло и сродни на тях
7531;Шивачи-моделиери, кожухари и шапкари
7532;Моделиери и кроячи на облекло и сродни на тях
7533;Шивачи, бродировачи и сродни на тях
7534;Тапицери и сродни на тях
7535;Работници по обработка на кожи
7536;Обущари и сродни на тях
754;Други квалифицирани работници и сродни на тях занаятчии
7541;Водолази и гмуркачи
7542;Бомбаджии
7543;Работници, които окачествяват и изпробват продукти (без храни и напитки)
7544;Дезинфектори и сродни на тях
7549;Други квалифицирани работници и сродни на тях занаятчии, н.д.
8;МАШИННИ ОПЕРАТОРИ И МОНТАЖНИЦИ
81;ОПЕРАТОРИ НА СТАЦИОНАРНИ МАШИНИ И СЪОРЪЖЕНИЯ
811;Машинни оператори в миннодобива и добива на минерали
8111;Миньори и работници в кариери
8112;Машинни оператори по обработка на руди и минерали
8113;Машинни оператори на сондажно оборудване и сродни на тях
8114;Машинни оператори в производството на цимент и други минерални продукти
812;Машинни оператори в металургичното производство и металообработването
8121;Машинни оператори в металургичното производство
8122;Машинни оператори по обработка на метали и нанасяне на покрития върху метали
813;Машинни оператори в химическото производство и производството на фотографски продукти
8131;Машинни оператори в химическото производство
8132;Машинни оператори в производството на фотографски продукти
814;Машинни оператори в производството на каучук, пластмаси и хартиени изделия
8141;Машинни оператори в производството на каучук и каучукови изделия
8142;Машинни оператори в производството на пластмаси и пластмасови изделия
8143;Машинни оператори в производството на хартиени изделия
815;Машинни оператори в текстилното, шивашкото и кожарското производство
8151;Машинни оператори в предачното производство
8152;Машинни оператори в тъкачното производство
8153;Машинни оператори в шивашкото производство
8154;Машинни оператори по избелване, боядисване, импрегниране, печатане и почистване на тъкани
8155;Машинни оператори в кожарското производство
8156;Машинни оператори в обувното производство
8157;Машинни оператори, пералня
8159;Машинни оператори в текстилното, шивашкото и кожарското производство, н.д.
816;Машинни оператори в хранително-вкусовата промишленост
8160;Машинни оператори в хранително-вкусовата промишленост
817;Машинни оператори в дървообработващата и хартиената промишленост
8171;Машинни оператори в производството на хартиена каша (пулп) и хартия
8172;Машинни оператори в дървообработващата промишленост
818;Други оператори на стационарни машини и съоръжения
8181;Машинни оператори в стъкларското и керамичното производство
8182;Оператори на парни машини и котли
8183;Оператори на машини за пакетиране, бутилиране и етикетиране
8189;Други оператори на стационарни машини и съоръжения, н.д.
82;МОНТАЖНИЦИ
821;Монтажници
8211;Машинни монтажници
8212;Монтажници на електрическо и електронно оборудване
8219;Монтажници, н.д.
83;ВОДАЧИ НА МОТОРНИ ПРЕВОЗНИ СРЕДСТВА И ОПЕРАТОРИ НА ПОДВИЖНИ СЪОРЪЖЕНИЯ
831;Локомотивни машинисти и сродни на тях
8311;Локомотивни машинисти
8312;Железопътни спирачи, сигналисти и стрелочници
832;Водачи на леки автомобили и мотоциклети
8321;Водачи на мотоциклети
8322;Водачи на леки автомобили, вкл. таксита
833;Водачи на тежкотоварни автомобили и автобуси
8331;Водачи на автобуси и ватмани
8332;Водачи на тежкотоварни автомобили
834;Оператори на подвижни съоръжения
8341;Оператори на подвижни съоръжения в селското и горското стопанство
8342;Оператори на земекопни съоръжения и сродни на тях
8343;Кранисти и сродни на тях оператори на повдигателни съоръжения
8344;Оператори на подемно-транспортни съоръжения
835;Палубни моряци и сродни на тях
8350;Палубни моряци и сродни на тях
9;ПРОФЕСИИ, НЕИЗИСКВАЩИ СПЕЦИАЛНА КВАЛИФИКАЦИЯ
91;ЧИСТАЧИ И ПОМОЩНИЦИ
911;Чистачи и помощници в домакинства, хотели и учреждения
9111;Домашни чистачи и помощници
9112;Чистачи и помощници в офиси, хотели и други учреждения
912;Миячи на превозни средства, прозорци, перачи и сродни на тях
9121;Перачи и гладачи (ръчно)
9122;Миячи на превозни средства
9123;Стъкломиячи
9129;Други чистачи
92;РАБОТНИЦИ В СЕЛСКОТО, ГОРСКОТО И РИБНОТО СТОПАНСТВО
921;Работници в селското, горското и рибното стопанство
9211;Работници в растениевъдни стопанства
9212;Работници в животновъдни стопанства
9213;Работници в смесени растенивъдни и животновъдни стопанства
9214;Работници в градинарството
9215;Работници в горското стопанство
9216;Работници в риболова и развъждането на аквакултури
93;РАБОТНИЦИ В ДОБИВНАТА И ПРЕРАБОТВАЩАТА ПРОМИШЛЕНОСТ, СТРОИТЕЛСТВОТО И ТРАНСПОРТА
931;Работници в добивната промишленост и строителството
9311;Работници в мини и кариери
9312;Работници по строителство и поддържане на пътища, язовири и други строителни съоръжения
9313;Работници по строителство на сгради
932;Работници в преработващата промишленост
9321;Пакетировачи (ръчно)
9329;Работници в преработващата промишленост, н.д.
933;Работници в транспорта и складирането
9331;Водачи на превозни средства с ръчно и педално управление
9332;Водачи на превозни средства и съоръжения с животинска тяга
9333;Товаро-разтоварачи
9334;Работници по зареждане на рафтове
94;ПОМОЩНИЦИ ПРИ ПРИГОТВЯНЕТО НА ХРАНИ
941;Помощници при приготвянето на храни
9411;Помощници при приготвянето на храни в заведения за бързо хранене
9412;Кухненски помощници
95;УЛИЧНИ ТЪРГОВЦИ И РАБОТНИЦИ, ИЗВЪРШВАЩИ УСЛУГИ НА УЛИЦАТА
951;Работници, извършващи услуги на улицата
9510;Работници, извършващи услуги на улицата
952;Улични продавачи на нехранителни стоки
9520;Улични продавачи на нехранителни стоки
96;РАБОТНИЦИ ПО СЪБИРАНЕ НА ОТПАДЪЦИ И СРОДНИ НА ТЯХ
961;Работници по събиране и сортиране на отпадъци
9611;Работници по събиране на отпадъци
9612;Работници по сортиране на отпадъци
9613;Метачи и сродни на тях
962;Други неквалифицирани работници
9621;Куриери, разносвачи на колетни пратки и носачи
9622;Общи работници
9623;Отчетници на измервателни уреди и събирачи на монети и жетони от автомати
9624;Носачи на вода и дърва за горене
9629;Други неквалифицирани работници, н.д.
0;ПРОФЕСИИ ВЪВ ВЪОРЪЖЕНИТЕ СИЛИ
01;ДЛЪЖНОСТИ, ЗАЕМАНИ ОТ ОФИЦЕРИ
011;Длъжности, заемани от офицери
0110;Длъжности, заемани от офицери
02;ДЛЪЖНОСТИ, ЗАЕМАНИ ОТ СЕРЖАНТИ
021;Длъжности, заемани от сержанти
0210;Длъжности, заемани от сержанти
03;ДЛЪЖНОСТИ, ЗАЕМАНИ ОТ ВОЙНИЦИ
031;Длъжности, заемани от войници
0310;Длъжности, заемани от войници
